,"301 ","302 ","303 ","304 ","306 ","307 ","308 ","309 ","312 ","313 ","314 ","315 ","317 ","321 ","322 ","327 ","328 ","329 ","333 ","334 ","335 ","336 ","343 ","344 ","345 ","346 ","348 ","349 ","353 ","355 ","358 ","361 ","372 ","374 ","375 ","376 ",377
"Porovnávání výsledků hospodaření s předcházejícími obdobími ",,"č ",,,,,,,,,,,,,"č ",,"č ",,,"x ",,,,,,,,,,,,,,,,,"č"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rozbor rovnoměrnosti čerpání výdajů se zdůvodněním výkyvů v jednotlivých čtvrtletích roku (zvlášť běžné výdaje a kapitálové výdaje)",,"x ","č ","x ",,,,,,,"č ","č ","č ","x ",,,,"č ",,"x ",,,,,,"x ",,,,"č ",,,,,,"č ","x"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uvedení výsledků kontrol ","č ",,,,,,,,,,,,,,"č ",,,,,,"č",,,,,,,,,,,,,,,,
"Uvedení přijatých opatření vč. zhodnocení jejich plnění ","č ",,,,,,,,"x ",,,,,"x ","x ",,,"č ",,,"č ","x ",,,,,"č ",,"č ",,,"č ",,"č",,,
"Komentář k plnění závazných ukazatelů ",,"č ",,,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,,,,
"Komentář vč. zapojení mimorozpočtových zdrojů ",,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,,,,,,,,
"Komentář k rozpočtovým opatřením, jejich vyčíslení a zdůvodnění ","č ","č ",,"č ",,,,,,,,,"č ","x ","č ",,,"č ","č ",,,,,,,,,,,,,,"č ","č ",,,"č"
"Komentář v členění dle jednotlivých oblastí hospodaření ",,"č ",,"č ","x ",,,,,,,,,"x ",,,,"č ",,,,,,,,,,,,,,,,,,,"č"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vyhodnocení příjmů kapitoly (zejména nedaňové, kapitálové, přijaté transfery",,,,,,,,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Příjmy z rozpočtu EU členěny podle jednotlivých nástrojů ",,,,,,,,,,,,,,,,,,"č ",,,,,,,,,,,"č",,,,,,,,
"Převody z vlastních fondů do příjmů kapitoly ",,,,,,,,,,"x ",,,,,,,,,,,,,,,,,,"č ",,"x",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vyčíslení a komentování daňových a nedaňových příjmů (správní poplatky, soudní poplatky, pokuty",,,,,"č ",,"č ",,,,,"č ","č ",,"č ",,,"č ",,,,,,,,,,,"č ",,,,"č ",,"č",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhodnocení výdajů ve vztahu ke státnímu rozpočtu vč. zdůvodnění případného nízkého plnění",,,,,,,,,,,,"x ",,,,,,,,,,,,,"č ",,,,"č",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodnocení výdajů ke stavu implementace programu nebo projektu ",,,,,,,,,,,,"x ",,,,,,,,,,,,,"x",,,,,,,,,,,,
"Informace o nárocích z nespotřebovaných výdajů ",,,,,,"č ",,,,,"č ",,,,,,,,,,,,"č ",,"č ",,,,"x",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Komentář výdajů na platy a ostatní platby za provedenou práci v rámci společných programů ČR a E",,,,,,,,,,,"x ",,"x ",,"x ",,"x ","x ",,,,,,,"č ",,,,"x ",,"x",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rozbor zaměstnanosti a čerpání mzdových prostředků v rozdělení na organizační složky státu a příspěvkové organizace",,"č ","č ",,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodnocení hospodárnosti, efektivnosti a účelnosti vynakládání výdajů ",,"x ","x ","x ","č ","x ",,,,"č ","x ","x ","x ","č ","x ",,"č ","č ",,,,"x ","č ","č ","č ","č ","x ","č ","č ","č ","x ",,,"x ","č ",,"x"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodnocení a vývoj neinvestičních transferů poskytnutých příspěvkovým a podobným organizacím",,,,,"č ",,,,,,,,,"č ","č",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Komentář výsledku hospodaření příspěvkových organizací, porovnání s předchozími roky, příčiny ztrátovosti, návrhy řešení ztrátovosti",,,,,"č ","č ",,,,,,,"x ",,"č ",,,"č ",,,"č ","č",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Čerpání a vývoj neinvestičních transferů poskytnutých neziskovým a podobným organizacím",,,,,"č ",,,,,,,,,"č ","č ",,,,,,,"č ",,,,,,,,,,,,,"x",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Čerpání a vývoj investičních transferů poskytnutých neziskovým a podobným organizacím",,,,,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodnocení transferů a půjčených prostředků nebo návratných finančních výpomocí, které byly poskytnuty územním rozpočtům",,,,,"x ",,,,,,"č ",,,,"č",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Komentování neinvestičních a investičních transferů podnikatelským subjektům",,,,,"č ",,,,,"č ",,,,"č ","č",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Přehled programů zařazených v informačním systému programového financování se základní charakteristikou každého programu včetně jejich rozboru a hodnocení",,"č ","č ",,,,,,,,,,,,"č ",,,,,,,,,,,,,,,,,,"č ","č ","č",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stav nesplacených půjček a návratných finančních výpomocí ",,,,,,,,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,
"Vyčíslení a komentář výdajů na podporu výzkumu a vývoje a inovací ",,,,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,,,,,
"Zdůvodnění nespotřebování rozpočtových výdajů ",,"x ",,,,"x ",,,,,,,,,,,,,,,,,,,"č ",,,,,,,"č ",,"x ",,,"x"
"Vyčíslení nároků určených na spolufinancování programů ",,,,,,,,,,,,,,,"x ",,"x",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodnocení využití prostředků uvolněných na odstraňování následků živelních katastrof a uvedení výše přijatých prostředků zahraniční pomoci",,,,,,,,,,,"č ",,,,,,,,,,,"č",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodnocení využití účelově poskytnutých finančních prostředků ze státního rozpočtu na stanovené celostátní programy",,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodnocení použití prostředků státního rozpočtu na zahraniční rozvojovou spolupráci a humanitární pomoc",,,,,,,,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vyčíslení a zhodnocení poskytnutých i přijatých finančních prostředků na zahraniční aktivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,"č ","č ",,,,,"č",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Výčet výdajů na zahraniční pracovní cesty a zhodnocení jejich přínosu pro činnost organizace ",,,"č ",,,"č ",,,,,,"č ",,"x ",,,,"č ",,,,"č ",,,,,,,,,,"č ","č",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Přehledy všech zálohových plateb včetně zdůvodnění plateb ",,"x ",,,,"č ",,,"č ",,,,"č ","x ","č ",,"č ",,,,,,"č ",,,,,,,"x ",,"x ",,"č ","č ","x",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Informace o bezúplatných převodech majetku (nezahrnují se vzájemné převody mezi OSS)","x ",,,,"x ",,"x ",,,"x ",,"x ","x ",,,,"x ",,,,,"x ",,,,,,,,,,,"x ","x ",,"x ","x"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Přehled všech majetkových účastí státu v tuzemských společnostech ",,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Organizační schéma kapitoly k 31.12. ",,"x ",,,,,,,,"x ",,,,,,,,"č ",,"x ",,,,,,,,,,,,,,,,,"x"
"Vyhodnocení výdajů kapitoly, které vyplývají z koncesních smluv ",,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Identifikace jednotlivých smluv, uvedení celkové částky a komentář případných změn",,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vyhodnocení výdajů, které vyplývají z veřejných zakázek o předpokládané hodnotě nejméně 300 mil. Kč, s plněním delším než 1 rok, komentář případných změn smluv uzavřených v předchozích letech",,,,,,,,,,,"č ",,"x ",,,,,,,"č",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bilance příjmů a výdajů státního rozpočtu v druhovém členění rozpočtové skladby ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"x",,,
"Přehled výdajů státního rozpočtu na podporu výzkumu a vývoje ",,,,,,,"x ",,,,,,,,,,,,,,,,,,,,"x",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Přehled účelových transferů a půjčených prostředků krajům a obcím a jiným subjektům z rozpočtu kapitoly",,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Výdaje účelově určené na programové financování ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"x",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Výdaje na platy a ostatní platby za provedenou práci v rámci společných programů/projektů ČR, EU a finančních mechanismů",,,,,,,,,,,,,,,,,,,,,,,,,,,"x ",,,,,"x",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Příjmy do rozpočtu kapitoly z rozpočtu EU na financování společných programů EU a ČR a z finančních mechanismů",,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
